"Postal Areas (UR) by Occupation (OCCP)"
"Counting: Persons, Place of Usual Residence"

,"Occupation (OCCP)","Community and Personal Service Workers nfd","Health and Welfare Support Workers nfd","Ambulance Officers and Paramedics","Dental Hygienists, Technicians and Therapists","Diversional Therapists","Enrolled and Mothercraft Nurses","Indigenous Health Workers","Massage Therapists","Welfare Support Workers","Carers and Aides nfd","Child Carers","Education Aides","Personal Carers and Assistants nfd","Aged and Disabled Carers","Dental Assistants","Nursing Support and Personal Care Workers","Special Care Workers","Hospitality Workers nfd","Bar Attendants and Baristas","Cafe Workers","Gaming Workers","Hotel Service Managers","Waiters","Other Hospitality Workers","Protective Service Workers nfd","Defence Force Members, Fire Fighters and Police nfd","Defence Force Members - Other Ranks","Fire and Emergency Workers","Police","Prison and Security Officers nfd","Prison Officers","Security Officers and Guards","Sports and Personal Service Workers nfd","Personal Service and Travel Workers nfd","Beauty Therapists","Driving Instructors","Funeral Workers","Gallery, Museum and Tour Guides","Personal Care Consultants","Tourism and Travel Advisers","Travel Attendants","Other Personal Service Workers","Sports and Fitness Workers nfd","Fitness Instructors","Outdoor Adventure Guides","Sports Coaches, Instructors and Officials","Sportspersons","Total",
,"Postal Areas (UR)",
,"2097, NSW",0,0,15,3,0,3,0,8,19,3,117,20,0,48,22,31,0,8,56,19,0,5,48,0,0,0,3,24,41,0,0,10,0,0,24,5,5,4,6,31,20,16,0,21,4,40,7,686,
,"2099, NSW",7,0,16,14,7,19,0,21,73,10,285,47,4,205,61,174,0,14,169,53,8,10,115,9,0,0,20,47,103,0,0,49,0,0,74,9,5,6,14,63,32,9,0,88,8,94,17,1959,
,"2100, NSW",0,0,14,9,4,3,0,8,33,8,137,36,5,85,15,43,0,11,59,24,0,5,54,0,0,0,3,22,41,0,0,18,0,0,22,5,4,7,4,31,16,7,0,26,0,60,12,831,
,"2101, NSW",0,0,14,8,5,4,0,14,23,4,147,40,0,79,18,40,0,8,73,18,0,5,52,0,0,0,4,21,33,0,0,16,0,0,19,5,4,5,4,23,21,18,0,42,6,54,12,839,
,"2102, NSW",0,0,9,5,0,3,0,4,4,0,32,16,0,20,7,20,0,0,29,5,0,5,35,0,0,0,5,9,21,0,0,0,0,0,14,0,4,0,0,8,4,12,0,19,0,6,4,300,
,"2103, NSW",0,0,8,3,9,8,0,5,11,0,79,16,6,42,4,32,0,3,34,23,0,0,33,4,0,0,0,13,24,0,0,3,0,0,15,4,5,4,0,18,14,3,0,31,4,22,5,485,
,"2104, NSW",0,0,0,3,0,0,0,0,4,0,15,3,0,8,3,3,0,0,15,3,0,0,18,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,11,4,0,9,0,4,0,109,
,"2105, NSW",0,0,0,0,0,0,0,0,4,0,10,7,0,3,4,0,0,0,5,4,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,58,
,"2106, NSW",0,0,3,5,5,3,0,10,19,3,53,7,0,42,11,19,0,4,45,7,0,3,56,0,0,0,0,10,8,0,0,5,0,0,18,4,0,0,6,17,27,4,0,29,0,24,5,452,
,"2107, NSW",0,0,3,6,4,3,0,9,10,5,94,30,0,49,12,28,0,10,45,15,0,4,93,0,0,0,0,11,15,0,0,5,0,0,15,3,0,4,5,22,39,7,0,32,0,43,0,621,
,"2108, NSW",0,0,0,0,0,0,0,0,0,0,10,4,0,11,0,0,0,0,11,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,5,0,5,0,70,
,"2109, NSW",0,0,0,0,0,0,0,0,3,0,12,3,0,3,4,3,6,0,13,3,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,83,
,"2110, NSW",0,0,0,0,5,0,0,3,11,3,32,5,0,11,5,10,7,0,48,6,3,3,32,0,0,0,0,3,3,0,0,3,0,0,5,4,3,0,0,8,8,6,0,17,0,13,6,263,
